"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"EWS.T14",0.3583,0.3878,0.3033,0.5537,0.2731,3.6198,1.7003,0.6095,0.3343,4.7451,0.9559,0.6272,0.2887,0.4844,0.1713,0.7023,1.1183,0.8082,0.4949,0.4524,0.0835,0.2637,0.5233,6.3467,0.883,0.9408,0.9391,0.3248,0.3623,0.1503,2.8688,0.8759,0.7315,0.2031,3.1497,0.5719,2.0589,0.4774,0.733,0.8247,0.2739,1.0743,0.1866,2.219,3.7029,0.8951,1.5732,2.8727,0.2673,0.5687,0.1151,0.903,0.5413,0.9726,0.913,1.2683,1.283,0.5164,0.2258,0.1674,0.1731,6.0027,0.7297,0.2566,0.9414,0.1304,2.7723,0.9095,2.3273,0.8752,0.1581,0.1908,0.5565,1.7717,0.6979,0.4483,0.7224,0.4014,0.3691,0.3066,0.2881,0.3809,0.2449,2.6,7.7327,3.9939,0.1536,0.268,0.1521,0.6328,0.5674,0.69,0.9065,0.9668,0.2843,0.4653,1.1462,0.249,1.4709,0.9191,0.1571,2.2799,0.5796,0.1285,0.8473,0.2421,0.5247,0.5395,0.7569,0.1882,0.1989,0.3021,0.3464,0.24,7.1902,0.1248,0.248,0.2486,0.2228,0.5757,1.8983,0.4697,3.667,0.3707,0.5307,0.2183,0.3076,0.1353,0.1557,3.1955
"EWS.T15",0.3396,0.5741,0.2876,0.4754,0.3425,4.6456,2.852,0.683,0.4248,6.1856,0.9602,0.476,0.2476,0.5659,0.1404,1.6557,0.5457,0.5915,0.4311,0.3867,0.091,0.4239,0.2073,9.1112,0.5628,1.4471,0.5735,0.3143,0.3352,0.2323,3.3494,1.9252,0.5166,0.2231,1.4527,0.4856,3.8,0.5519,0.4188,0.4356,0.1469,0.9733,0.1799,1.6971,1.3469,1.2671,1.1289,1.8535,0.2245,0.3984,0.1822,1.0104,0.4289,0.3765,0.5261,2.3901,1.3056,0.5977,0.2609,0.1477,0.2243,3.3262,1.0753,0.2379,0.5862,0.2619,1.4765,0.4087,1.9825,1.077,0.1195,0.2251,1.3843,1.8572,1.1518,0.3352,0.7518,0.3719,0.7456,0.2724,0.2712,0.298,0.2065,1.5229,5.3775,2.1827,0.0827,0.2709,0.1472,1.1177,0.9691,0.8557,0.6945,1.1238,0.2527,0.6339,1.6585,0.4963,1.372,0.5163,0.2047,2.3442,0.7062,0.1598,0.4232,0.2576,0.4847,0.3977,0.6347,0.2066,0.2065,0.5296,0.4626,0.2355,4.4675,0.1462,0.6761,0.1855,0.2867,0.2938,4.855,1.2083,6.0409,0.4926,0.713,0.4303,0.4564,0.4031,0.1942,4.1509
"EWS.T19",0.3383,0.2628,0.8488,0.4179,0.5539,1.5455,1.3593,0.4396,0.1583,1.3817,2.9009,0.6195,0.3393,0.3033,0.6149,0.2231,0.5891,1.1869,0.2308,0.4403,0.317,1.3569,0.7815,5.3163,0.4234,0.6448,0.583,0.2439,0.3076,0.2291,1.961,0.9281,0.4638,0.5187,4.5617,1.3753,2.4531,0.8269,1.489,0.6092,0.2148,1.4651,0.1449,1.4046,2.2328,0.6947,1.5281,3.0645,0.4822,0.4317,0.2205,0.3531,0.5732,0.2993,0.7751,3.8509,1.1459,0.5332,0.3431,0.2022,0.2908,3.4524,0.3572,0.1288,0.7952,0.5288,2.0869,0.3453,1.9829,0.9084,0.2239,1.1335,0.3481,0.7894,0.2505,0.4146,0.5055,0.4302,0.2444,0.2969,0.1707,0.3695,0.4115,1.7359,4.5233,1.6896,0.4338,0.4582,0.3872,1.0942,0.5591,0.5964,0.7664,1.0256,0.3912,0.6429,0.7304,0.5534,0.9163,1.1547,0.7366,2.9316,0.808,0.1665,0.7639,0.2663,0.5498,0.4826,0.8202,0.2693,0.2905,1.7885,0.251,0.2264,3.7099,0.1109,0.4846,0.4073,0.1829,0.5537,7.395,1.819,2.4342,0.5667,0.3252,0.3659,0.2668,0.6329,0.3654,4.6412
"EWS.C8",0.527,0.7839,0.0979,0.3006,0.3758,1.2047,4.4923,0.2406,0.472,1.6317,1.9595,0.3375,0.1488,0.367,0.1533,0.2799,0.1344,0.1778,0.3482,0.5631,0.1328,0.157,0.0814,3.5546,0.262,1.124,0.1642,0.111,0.8015,0.2561,3.6532,0.9121,0.9567,0.1627,0.9616,1.2807,3.4956,0.4322,0.1459,1.0069,0.4388,0.7954,0.1679,1.8671,0.2565,0.1831,0.3453,6.3458,0.7457,0.4914,0.5459,1.2497,0.3981,0.1385,0.47,6.0993,1.3088,0.5008,0.2903,0.4268,0.1384,6.0721,1.3116,0.1873,0.7651,0.5585,0.7552,1.9687,2.6802,3.352,0.1882,0.1474,0.2926,0.9154,0.7332,0.2509,1.1642,0.2041,0.1071,0.6189,0.1002,0.1979,0.3441,0.8705,5.3835,1.3077,0.0408,0.1436,0.2945,1.3549,0.1734,0.3097,0.2893,0.3718,0.58,0.6108,0.7855,0.4951,3.9492,0.8562,1.0801,2.2021,1.2202,0.1596,0.3639,0.1656,0.6401,0.7179,0.6866,0.3624,0.2034,0.1055,0.6108,0.3987,3.378,0.1188,0.6739,0.5114,0.0879,0.2765,5.502,0.3542,7.4097,0.4018,1.3554,0.9141,0.1823,1.5151,0.3325,4.5169
"EWS.C3",0.2375,0.6469,0.1559,0.0561,0.1456,0.0641,2.2448,0.3899,1.0388,1.8704,1.9045,0.2047,0.2672,0.1096,0.0922,1.0833,0.2372,0.5368,0.8405,0.2215,0.0932,0.8608,0.5288,5.0274,0.1929,2.0557,0.2888,0.0781,1.4744,0.4271,0.3418,0.325,0.2144,0.3376,3.2285,0.1962,4.4234,0.9721,0.7883,0.3755,0.1987,3.117,0.1831,0.8387,0.4708,0.4482,0.4786,2.7424,0.2493,0.0711,0.3475,3.0338,0.4293,0.3853,1.1193,3.7694,0.7705,1.079,0.6194,0.2306,0.2713,2.4698,0.1988,0.6766,0.9134,0.2902,4.0535,0.3971,1.0204,1.8317,0.6665,0.7832,0.7808,0.0919,1.4633,0.8449,1.3029,0.2973,0.4445,0.367,0.2026,0.2136,0.2114,0.5833,1.5801,2.5379,0.166,0.5608,0.0834,0.8745,0.6666,0.0936,0.0676,0.2903,0.3231,0.9114,0.1287,0.1313,2.7265,0.6153,0.8744,1.6922,1.5321,0.116,0.5706,0.0993,0.1757,1.0543,0.6358,0.5209,0.2785,2.1256,0.4107,0.3084,2.6338,0.2847,0.599,0.4087,0.2725,0.5712,4.7244,1.1227,3.7971,0.5566,0.3729,0.6231,0.1017,0.7504,0.1205,0.4944
"EWS.C2",0.1609,0.695,0.1072,0.0428,0.1787,0.0591,2.2702,0.2436,0.6979,1.8456,1.7253,0.1133,0.209,0.1504,0.0886,1.5481,0.5521,0.31,0.9805,0.3044,0.119,1.2819,0.1837,4.7423,0.077,1.2996,0.1177,0.0825,1.8773,0.7624,0.3338,0.1148,0.2421,0.3721,2.8654,0.3525,4.0812,1.5914,0.8,0.2166,0.257,3.3287,0.1213,0.7847,0.3574,0.2576,0.5392,1.6481,0.1663,0.0925,0.419,2.908,0.3256,0.9955,0.6854,4.3326,0.9293,0.9322,0.5236,0.2344,0.1784,3.4959,0.1361,0.9789,1.098,0.4355,3.2345,0.2004,0.7087,3.7127,1.2111,0.4894,2.5384,0.1322,1.4323,0.6488,2.2082,0.1757,0.9276,0.2516,0.1339,0.4207,0.1916,0.4398,0.872,1.6784,0.5054,0.8165,0.0624,1.1779,1.21,0.0768,0.1029,0.3127,0.3594,0.7251,0.1213,0.15,2.14,0.6746,1.5329,1.3881,1.245,0.1008,0.4333,0.1698,0.1013,0.7096,0.4197,0.6514,0.107,0.453,0.6093,0.2801,2.979,0.1825,1.1278,0.3284,0.3235,0.6522,2.2089,1.1595,2.9232,0.7035,0.4451,0.4269,0.0458,1.4635,0.1557,1.7248
"EWS.C4",0.3462,0.7474,0.5505,0.08,2.962,0.4006,0.7287,1.5826,0.4202,1.5371,2.7633,0.5399,0.3103,0.1562,0.1582,0.3488,1.2007,0.6351,1.222,0.2731,0.0848,0.5084,1.4942,2.8508,0.2363,1.6426,0.6948,1.0614,0.2791,0.6059,0.5379,0.7679,0.6559,0.9522,1.8918,1.6455,2.5709,1.5044,1.6101,0.4698,0.2857,2.1668,0.1923,0.3125,1.5089,1.4433,1.0431,1.3174,0.4731,0.2669,0.3503,0.5514,0.2548,0.5461,0.4366,1.8691,0.357,1.1311,0.7288,0.354,0.2487,2.5383,0.1025,0.3435,2.4667,0.8341,1.5697,0.4663,2.277,1.2826,0.5118,2.5078,0.4213,0.1324,0.6071,1.0553,1.6667,1.2274,0.3094,0.501,0.3012,0.5331,0.974,2.3565,2.7979,2.177,1.4104,0.4561,0.1235,0.7337,0.908,0.6485,0.212,0.9969,0.1607,0.4192,0.1807,0.2008,2.3324,0.5114,0.3456,0.7359,2.8712,0.1087,0.7357,0.4653,0.2541,1.4353,0.6724,0.6516,0.2015,0.6976,0.3944,0.4804,2.7862,0.1906,0.594,0.5321,0.2088,0.3901,3.1138,1.439,2.4611,0.6272,0.3432,0.5845,0.3388,0.437,0.3315,2.347
"EWS.C6",0.3714,0.589,0.2601,0.4109,0.2868,2.8438,2.6173,0.7626,0.367,3.6444,2.7591,0.4364,0.193,0.4587,0.4894,0.4026,0.6083,0.4653,0.8166,0.6284,0.2956,1.4857,0.1157,3.2765,0.3715,1.0671,0.3771,0.2328,1.1515,0.185,2.774,1.0429,0.7572,0.4426,3.3129,0.4691,3.3072,1.0685,0.9971,1.3892,0.7013,1.2149,0.2282,0.7835,0.3715,0.3378,0.8131,2.9578,1.5482,0.2775,0.9991,1.678,2.4242,0.4232,0.6982,2.6614,0.9443,0.8962,0.6035,0.3346,0.2129,3.7736,0.9398,0.238,0.6493,0.5088,1.3617,0.3706,1.6987,2.0873,0.3905,0.6265,0.4033,1.313,0.9768,0.9142,1.5447,0.3536,0.2052,0.5306,0.2895,0.6863,0.4595,0.8183,3.1612,1.5695,0.1385,0.1837,1.4462,1.6405,1.1506,1.7092,0.2265,0.4245,0.6769,1.071,0.3983,0.4947,2.8362,0.8914,0.6059,1.6022,1.46,0.2144,0.4163,0.2205,0.3583,0.9408,0.9431,0.2358,0.5664,0.1652,0.3668,0.4491,2.3003,0.1011,0.4438,0.4085,0.2558,0.2666,3.5224,1.0086,3.2889,0.4088,0.3652,0.8396,0.2065,0.8376,0.5093,4.0513
"EWS.C9",0.3419,0.6215,0.2407,0.3832,0.2784,2.6963,3.1271,0.8102,0.3425,4.6242,3.0003,0.4811,0.1758,0.4201,0.4318,0.3869,0.5692,0.4381,0.7446,0.5953,0.2713,1.4188,0.1105,4.0182,0.3396,1.025,0.3345,0.2071,1.1148,0.1716,3.136,1.0667,0.7231,0.4016,4.0048,0.4456,3.8279,0.9772,0.9764,1.2943,0.6353,1.2084,0.215,0.7517,0.3513,0.3071,0.7758,3.998,1.3825,0.2541,0.7391,1.4923,2.801,0.3949,0.6968,2.8162,0.8911,0.8825,0.5223,0.2944,0.2,4.6784,0.8255,0.2279,0.6394,0.4573,1.2452,0.357,1.6168,1.9623,0.3526,0.5835,0.383,1.2201,0.9017,0.8722,1.4587,0.3264,0.1984,0.5239,0.2645,0.65,0.4189,0.7845,3.4001,1.525,0.1307,0.1713,1.42,1.5049,1.0127,1.5139,0.2172,0.4184,0.6283,1.0134,0.3942,0.4753,2.8766,0.8057,0.5622,1.4674,1.4648,0.2003,0.4,0.2151,0.358,0.8873,0.9287,0.229,0.516,0.1625,0.3667,0.4247,2.1932,0.1152,0.4164,0.3941,0.2214,0.2445,4.4397,0.9195,3.3348,0.3902,0.3351,0.8098,0.1972,0.81,0.4954,5.2958
"EWS.C7",0.44,0.8047,0.2536,0.6713,0.426,3.0515,2.7376,0.4762,0.4369,5.5496,1.7645,0.2947,0.2719,0.3889,0.1588,0.5652,0.5941,0.465,0.4592,0.6556,0.1687,0.1919,0.4262,6.2066,0.9021,1.4,0.2315,0.2928,0.8901,0.232,2.6199,1.3857,1.1274,0.2625,1.394,0.7584,2.6071,0.4687,0.4547,0.8981,0.3918,1.3648,0.1661,0.9301,1.0296,0.4177,0.5266,5.2469,1.373,0.5631,0.7643,1.3456,0.7645,0.2705,0.7336,4.4808,1.0311,0.6423,1.0908,0.291,0.1214,5.4931,0.8036,0.2131,1.485,0.2338,2.1517,0.3171,2.4293,2.3127,0.3201,0.1697,0.7692,1.3841,0.6104,0.6415,0.9196,0.6598,0.5504,0.2992,0.1978,0.3783,0.371,0.9438,4.966,2.4886,0.3022,0.1547,0.8495,0.6385,0.6807,0.2444,0.3892,0.5383,0.3596,0.359,0.8525,0.4609,2.2571,0.7104,0.466,2.4105,2.2454,0.2067,0.5711,0.2882,0.409,1.5953,0.3805,1.0523,0.1507,0.2802,0.341,0.5468,4.4975,0.2596,1.1469,0.458,0.5764,0.1327,6.0496,0.3668,6.7491,0.193,0.362,0.4806,0.1202,0.8579,0.1288,5.2135
